sku,attribute_set_code,product_type,categories,manufacturer,name,price,description,base_image,small_image,thumbnail_image,additional_images
1320,Default,simple,Default Category/Trang phục leo núi,Khác,Áo mưa đoàn loại tốt,25000,"Áo mưa đoàn bảo vệ bạn khỏi thời tiết mưa nắng thất thường trong những chuyến leo núi, đảm bảo trải nghiệm ngoài trời an toàn trong thời tiết khắc nghiệt nhất.",/1320-0.jpg,/1320-0.jpg,/1320-0.jpg,
1336,Default,simple,Default Category/Trang phục leo núi,Khác,Ủng nilon (loại mới),12000,"Ủng nilon (loại mới) giá chỉ 10k rẻ nhất tại WeTrek. Ủng bằng nilon chống nước tuyệt đối. Nhỏ gọn, tiện lợi khi đi du lịch, đi phượt. Liên hệ: 02873051988.",/1336-0.jpg,/1336-0.jpg,/1336-0.jpg,
7692,Default,simple,Default Category/Trang phục leo núi,MADE IN VIETNAM,Áo mưa balo 30 - 50L Raincover - 7692,80000,"Áo mưa balo 30 - 50L Raincover - 7692  được làm từ chất liệu 100% Polyester chống nước rất tốt, bề mặt nhẵn bóng khó bám bẩn và dễ dàng làm sạch. Phù hợp sử dụng cho Balo leo núi có thể tích từ 30-50L. Đây là phụ kiện không thể thiếu cho chiếc balo của bạn.",/7692-0.jpg,/7692-0.jpg,/7692-0.jpg,
10216-3,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar Quick Dry,599000,"Quần mau khô Gothiar thuận tiện cho những hoạt động như leo núi, đi bộ, lội suối, du lịch dã ngoại, hoạt động ngoài trời.",/10216-3-0.jpg,/10216-3-0.jpg,/10216-3-0.jpg,"/10216-3-2.jpg,/10216-3-3.jpg,/10216-3-4.jpg,/10216-3-5.jpg,/10216-3-6.jpg,/10216-3-7.jpg"
10206-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar - Đỏ nâu,795000,"Thiết kế họa tiết trẻ chung cùng nhiều màu sắc, đi kèm chất liệu mau khô chống thấm tốt từ Polyester, chắc chắn sẽ là sản phẩm cần thiết trong mỗi chuyến đi Outdoor Leo Núi - Dã Ngoại của bạn.",/10206-1-0.jpg,/10206-1-0.jpg,/10206-1-0.jpg,"/10206-1-2.jpg,/10206-1-3.jpg,/10206-1-4.jpg,/10206-1-5.jpg"
10772-5,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Áo thun ngắn tay nam Gothiar Classic,385000,"Áo thun ngắn tay nam Gothiar Classic được thiết kế đặc biệt để đáp ứng nhu cầu của những người yêu thích hoạt động thể thao và dã ngoại. Với chất liệu polyester chất lượng cao, thấm hút mồ hôi tốt và thoáng khí, giúp bạn thoải mái trong mọi hoạt động.",/10772-5-0.jpg,/10772-5-0.jpg,/10772-5-0.jpg,"/10772-5-1.jpg,/10772-5-2.jpg,/10772-5-3.jpg,/10772-5-4.jpg,/10772-5-5.jpg,/10772-5-6.jpg"
9869,Default,simple,Default Category/Trang phục leo núi,KTOM,Áo sơ mi dài tay mau khô nam Ktom K128,460000,Áo chống nắng KTOM được làm bằng chất liệu vải nhanh khô với công nghệ OMNI-SHADE ® cản tia UV (hay còn gọi là tia cực tím) làm cho bạn an toàn hơn khi đi ngoài trời.,/9869-0.jpg,/9869-0.jpg,/9869-0.jpg,"/9869-1.jpg,/9869-2.jpg"
10469-4,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Áo thun ngắn tay nam Gothiar AT Dry,323000,"Áo thun là một trong những loại áo thường được sử dụng trong thời trang hàng ngày. Nó có thiết kế đơn giản, dễ mặc và phù hợp với nhiều hoàn cảnh khác nhau. Với sự phát triển của công nghệ vải, chất liệu áo thun ngày càng đa dạng, tạo ra sự thoải mái và tiện ích cho người mặc.",/10469-4-0.jpg,/10469-4-0.jpg,/10469-4-0.jpg,"/10469-4-1.jpg,/10469-4-2.jpg,/10469-4-3.jpg,/10469-4-4.jpg,/10469-4-5.jpg"
10176-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nữ Gothiar - Xanh dương,795000,"Bới thiết kế họa tiết trẻ chung cùng nhiều màu sắc, đi kèm chất liệu mau khô chống thấm tốt từ Polyester, chắc chắn sẽ là sản phẩm cần thiết trong mỗi chuyến đi Outdoor Leo Núi - Dã Ngoại của bạn.",/10176-1-0.jpg,/10176-1-0.jpg,/10176-1-0.jpg,"/10176-1-1.jpg,/10176-1-2.jpg,/10176-1-3.jpg"
10151-1,Default,simple,Default Category/Trang phục leo núi,GOTHIAR,Quần mau khô nối ống FM Gothiar Active Convertible,569000,"Tính năng nhanh khô không để lại mồ hôi, thoáng khí và rất nhẹ phù hợp với các hoạt động dã ngoại ngoài trời hay các công việc hay phải di chuyển nhiều vào thời tiết nắng nóng nhờ tới công nghệ giúp di chuyển và phát tán hơi ẩm ra khỏi cơ thể một cách nhanh nhất, giữ cho người dùng luôn thoải mái trong suốt quá trình vận động.",/10151-1-0.jpg,/10151-1-0.jpg,/10151-1-0.jpg,"/10151-1-2.jpg,/10151-1-3.jpg,/10151-1-4.jpg,/10151-1-5.jpg,/10151-1-6.jpg,/10151-1-7.jpg,/10151-1-8.jpg,/10151-1-9.jpg"
